names,scores,logfoldchanges,pvals,pvals_adj,rank
Ffar4,-2.346859,-3.346825,0.0189324136508543,0.0360647211973251,828
Wnt5b,3.3455088,-3.3501391,0.0008213178277116,0.0016820139074368,829
Ifih1,13.566603,-3.3546517,6.318334603275464e-42,2.1269115243547058e-41,830
Trak1,20.805779,-3.3630977,3.836772592538421e-96,1.8503145244661093e-95,831
Pou2f1,9.282075,-3.365962,1.6621021750849086e-20,4.617797633225197e-20,832
Ptch1,7.262946,-3.3929915,3.78749077135485e-13,9.551010943757117e-13,833
Il2,-2.436112,-3.4440448,0.0148460865178727,0.028466548391807,834
Ipo11,9.563942,-3.4977922,1.1335501802680216e-21,3.1875700962036834e-21,835
Dhx16,11.706846,-3.512612,1.1757222048135112e-31,3.633141575078486e-31,836
Prkcz,-3.6903296,-3.5917583,0.000223963681901,0.0004677494367979,837
Fzd4,21.867256,-3.6472185,5.326561086976437e-106,2.7075252729819325e-105,838
Tirap,10.433204,-3.6473482,1.7489023338596143e-25,5.10703696725157e-25,839
Or13j1,4.17751,-3.6988935,2.94717714621314e-05,6.330963202137194e-05,840
Pias3,16.465982,-3.8067093,6.440890110375142e-61,2.4941027097896923e-60,841
Mapk8ip3,15.272005,-3.8351064,1.1750325913117307e-52,4.30450447260769e-52,842
Sphk2,10.06099,-3.8380127,8.216748443413247e-24,2.3574373251775092e-23,843
Nars1,18.703056,-3.8416154,4.674656599223791e-78,2.0223454859022926e-77,844
Alcam,3.3977234,-3.8543253,0.0006794908171267,0.0013979838508276,845
Fgf2,14.352218,-3.8745458,1.0318352630199392e-46,3.610811962636146e-46,846
Gtf2b,27.994057,-3.9737554,1.9193479076304278e-172,1.3590202915509094e-171,847
Fzd7,5.142864,-3.990828,2.705811172605911e-07,6.123200393573886e-07,848
Ptger3,-5.910945,-3.9995446,3.4015068217290334e-09,8.010667261820688e-09,849
Fiz1,13.984441,-4.0291977,1.9399683783206712e-44,6.666277722477825e-44,850
Cry2,10.07107,-4.0292788,7.416700314346436e-24,2.128674096296199e-23,851
