names,scores,logfoldchanges,pvals,pvals_adj
Ms4a12,-0.014755701,-0.74132776,0.9882270814276302,0.9999344575108171
Gm3835,-0.014757916,-0.34752125,0.9882253141821488,0.9999344575108171
Kiss1-1,-0.014760685,-1.2652987,0.9882231051253783,0.9999344575108171
Gm14402,-0.014765669,-2.1073716,0.988219128823419,0.9999344575108171
Gm11009,-0.014765669,-2.1073716,0.988219128823419,0.9999344575108171
Gdap1l1,-0.014801573,-0.75160486,0.9881904847309204,0.9999344575108171
Gm6075,-0.01485206,-0.9652596,0.9881502063027051,0.9999344575108171
Atp6v1c2,-0.0148537215,-1.3116316,0.9881488808704795,0.9999344575108171
Gm29573,-0.01485409,-0.9570714,0.9881485863299894,0.9999344575108171
Gm12025,-0.01485409,-1.6168934,0.9881485863299894,0.9999344575108171
Gm46610,-0.01485446,-1.3326948,0.9881482917895008,0.9999344575108171
Gm3029-1,-0.0148561215,-2.8925128,0.9881469663573225,0.9999344575108171
Gm46577,-0.01485649,-1.562954,0.9881466718168428,0.9999344575108171
Speer4f2,-0.014856859,-2.070689,0.9881463772763648,0.9999344575108171
Clps,-0.014857044,-2.0477498,0.9881462300061263,0.9999344575108171
Npc1l1,-0.014857413,-2.0878162,0.9881459354656508,0.9999344575108171
Or1af1,-0.015318442,-0.48535547,0.9877781293204625,0.9999344575108171
Gm14441,-0.01534004,-0.26593176,0.9877608988253939,0.9999344575108171
Gm47385,-0.01534687,-0.50729114,0.9877554498666027,0.9999344575108171
Rnf151,-0.015356653,-1.16883,0.9877476446023022,0.9999344575108171
Gm2383,-0.015359515,-1.1871921,0.9877453619308888,0.9999344575108171
ENSMUSG00000096519,-0.015360899,-2.0751631,0.9877442574124989,0.9999344575108171
Aldh3b2,-0.01544406,0.22285303,0.9876779127177061,0.9999344575108171
Ryr3,-0.015451259,-1.1865366,0.987672169229816,0.9999344575108171
Lrrc69,-0.015453843,-2.0634398,0.9876701074650882,0.9999344575108171
Gm7065,-0.015493532,-0.93843454,0.9876384446599764,0.9999344575108171
Prg2,-0.015540604,-0.18607028,0.9876008911256693,0.9999344575108171
Zfp831,-0.015546419,0.32955354,0.9875962521615713,0.9999344575108171
Gfi1b,-0.015546603,1.1039052,0.9875961048928766,0.9999344575108171
Smbd1,-0.015547157,-1.1252892,0.9875956630867951,0.9999344575108171
Ucp1,-0.015547526,-3.1701202,0.9875953685494097,0.9999344575108171
Vmn1r3,-0.0155477105,-0.5998401,0.9875952212807175,0.9999344575108171
Ankrd40cl,-0.015547896,-1.2001753,0.9875950740120258,0.9999344575108171
Gm14247,-0.01554808,-2.046491,0.9875949267433346,0.9999344575108171
Gm7807,-0.01554808,-1.8389753,0.9875949267433346,0.9999344575108171
Gm43309,-0.015548265,-2.028986,0.9875947794746437,0.9999344575108171
Pgk1-ps1,-0.015548265,-1.7582405,0.9875947794746437,0.9999344575108171
Gm53023,-0.015548449,-2.2410204,0.9875946322059533,0.9999344575108171
Gm48100,-0.015548449,-1.950171,0.9875946322059533,0.9999344575108171
Ftcd,-0.015548449,-2.036861,0.9875946322059533,0.9999344575108171
Slc5a12,-0.015548449,-1.9394603,0.9875946322059533,0.9999344575108171
