names,scores,logfoldchanges,pvals,pvals_adj,gene
ENSG00000168959,-0.07833149,-0.4628533,0.9375643665034048,1.0,GRM5
ENSG00000225938,-0.07316816,-20.674322,0.9416723032539492,1.0,S1PR1-DT
ENSG00000232788,0.07332572,1.0641994,0.941546924143812,1.0,ITGA6-AS1
ENSG00000223552,-0.06651651,-20.408709,0.9469666146100342,1.0,CCR5AS
ENSG00000246130,-0.06651651,-20.332417,0.9469666146100342,1.0,TNFRSF10B-AS1
ENSG00000112164,-0.0657287,-0.28081244,0.9475938214496058,1.0,GLP1R
ENSG00000113327,-0.06319068,-20.635061,0.9496146634750922,1.0,GABRG2
ENSG00000238020,-0.057526987,-0.5024581,0.9541254101069384,1.0,HTR3E-AS1
ENSG00000174343,-0.056539033,-20.212881,0.9549124017448496,1.0,CHRNA9
ENSG00000229656,-0.056502838,-0.14642344,0.9549412363296976,1.0,ITGB1-DT
ENSG00000159899,-0.05631121,-0.04763345,0.9550938909958296,1.0,NPR2
ENSG00000115221,-0.048584305,-0.49068564,0.9612505776823168,1.0,ITGB6
ENSG00000136160,-0.04805626,-0.042481307,0.961671404253194,1.0,EDNRB
ENSG00000108405,-0.047583576,-0.72919506,0.9620481209711428,1.0,P2RX1
ENSG00000229589,-0.12082626,-2.3337507,0.9038286508075885,1.0,ACVR2B-AS1
ENSG00000251577,0.07337682,1.2876775,0.9415062609595634,1.0,TACR3-AS1
ENSG00000188263,0.10993322,2.3242865,0.9124623344592928,1.0,IL17REL
ENSG00000259125,0.07440736,3.1114776,0.9406862527633296,1.0,LRP1-AS
ENSG00000147166,0.5129947,0.40505558,0.6079550035600194,1.0,ITGB1BP2
ENSG00000161509,0.5145022,0.62409705,0.6069009118154084,1.0,GRIN2C
ENSG00000143127,0.5156307,0.6878038,0.606112366611337,1.0,ITGA10
ENSG00000243646,0.52117515,0.017457213,0.6022447576234393,1.0,IL10RB
ENSG00000127863,0.5224761,0.083635874,0.6013388789285727,1.0,TNFRSF19
ENSG00000259207,0.5267196,0.29497927,0.5983883084566703,1.0,ITGB3
ENSG00000181038,0.52825266,0.18044451,0.5973239901101032,1.0,METTL23
ENSG00000113494,0.53801507,0.7543788,0.590566639456026,1.0,PRLR
ENSG00000183454,0.54044026,-0.03218054,0.5888934581830102,1.0,GRIN2A
ENSG00000171631,0.5504518,1.3035003,0.5820095342399378,1.0,P2RY6
ENSG00000142677,0.5566158,0.49174803,0.5777899202155794,1.0,IL22RA1
ENSG00000182580,0.5567138,0.28867817,0.5777229891628238,1.0,EPHB3
ENSG00000134250,0.558843,0.007357248,0.5762688690403522,1.0,NOTCH2
ENSG00000123600,0.56389135,0.073764145,0.5728280689952742,1.0,METTL8
ENSG00000144407,0.56395525,0.9722521,0.572784595470335,1.0,PTH2R
ENSG00000185920,0.5723422,0.15025525,0.5670901688507575,1.0,PTCH1
ENSG00000198171,0.59068745,0.18968204,0.554729848085936,1.0,DDRGK1
ENSG00000245750,0.60052866,1.0499849,0.548153958180951,1.0,DRAIC
ENSG00000100601,0.60742944,0.11411405,0.5435659553930259,1.0,ALKBH1
ENSG00000144730,0.62251705,0.3048229,0.5336019557144713,1.0,IL17RD
ENSG00000135409,0.6324945,0.41134337,0.5270638035585165,1.0,AMHR2
ENSG00000246523,0.6497815,0.15278502,0.5158333385933057,1.0,FZD4-DT
ENSG00000169495,0.6593012,0.9814984,0.5097023426209628,1.0,HTRA4
ENSG00000204217,0.66784364,0.028987555,0.5042334099670369,1.0,BMPR2
ENSG00000044524,0.66939795,0.2180499,0.5032416539888149,1.0,EPHA3
ENSG00000198822,0.67314965,1.530852,0.5008521054619397,1.0,GRM3
ENSG00000074181,0.67728883,0.91108066,0.4982227300931017,1.0,NOTCH3
ENSG00000123496,0.5058065,2.0911264,0.6129924786150636,1.0,IL13RA2
ENSG00000226925,0.5023444,1.0894499,0.615425262149867,1.0,IL1R1-AS1
ENSG00000114388,0.49735355,0.37179437,0.6189397474248046,1.0,NPRL2
ENSG00000088826,0.48834914,0.15694737,0.6253025648392139,1.0,SMOX
ENSG00000182162,0.3610011,0.6507182,0.7180986206572307,1.0,P2RY8
ENSG00000182256,0.36495504,0.633397,0.715144961871511,1.0,GABRG3
ENSG00000043591,0.3662347,0.29095468,0.7141899492444175,1.0,ADRB1
ENSG00000135914,0.36826596,1.0370102,0.7126749251652952,1.0,HTR2B
ENSG00000159625,0.36935824,1.130643,0.711860710450125,1.0,DRC7
ENSG00000139567,0.36972448,0.82451504,0.7115877918575244,1.0,ACVRL1
ENSG00000137760,0.3699374,0.11647754,0.7114291352419184,1.0,ALKBH8
ENSG00000022355,0.37538818,3.1730385,0.7073717979880387,1.0,GABRA1
ENSG00000006638,0.3899754,1.3194438,0.6965547448895176,1.0,TBXA2R
ENSG00000163485,0.39037994,0.4454863,0.6962556190793496,1.0,ADORA1
ENSG00000196083,0.39109322,-0.012369551,0.6957283281370727,1.0,IL1RAP
ENSG00000130881,0.39167023,1.1328831,0.6953018809749504,1.0,LRP3
