rank,receptor,ligand,r_score,r_logfc,l_score,l_logfc,l_padj,n_db,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway
56,Plaur,Vtn,18.34,3.18,-10.41,-120.41,6.644433391825109e-25,4,0.2,1,5,0.0008,Other
57,Lgr4,Rspo1,10.16,-0.81,-15.81,-24.78,1.0423220477571363e-55,5,0.2,1,5,0.0008,Other
58,Insr,Ahsg,13.64,0.6,-7.43,-14.43,2.740125086874161e-13,4,0.333,2,6,0.0007,Other
59,Il2rg,Il15,7.88,0.68,-7.7,-16.22,3.520104297136089e-14,4,0.6,3,5,0.0007,Other
60,Egfr,Tgfa,36.78,9.12,-3.87,-2.65,0.000226413419789,5,0.211,4,19,0.0007,EGF
61,Acvr2a,Bmp2,12.91,2.08,-11.79,-12.8,1.2892853069774322e-31,3,0.286,4,14,0.0007,Other
62,Acvr2a,Bmp6,12.91,2.08,-9.31,-20.73,3.4077937903842886e-20,4,0.286,4,14,0.0007,Other
63,Pdgfrb,Pdgfb,51.98,-0.01,-2.68,-6.46,0.0143866398374726,5,0.2,1,5,0.0007,Other
64,Il2rg,Icam1,7.88,0.68,-9.48,-27.13,7.270841286462939e-21,3,0.6,3,5,0.0007,Other
65,Itgb3,Vtn,13.35,4.57,-10.41,-120.41,6.644433391825109e-25,4,0.143,2,14,0.0004,Other
66,Bmpr1b,Bmp2,3.49,2.35,-11.79,-12.8,1.2892853069774322e-31,4,0.444,4,9,0.0004,BMP
67,Grin2d,Il16,6.24,1.82,-6.76,-6.91,3.2786146366201797e-11,4,0.5,1,2,0.0004,Other
68,Itga5,Vtn,33.0,17.47,-10.41,-120.41,6.644433391825109e-25,4,0.062,1,16,0.0004,Other
69,Acvr2a,Inhbb,12.91,2.08,-5.46,-15.34,1.109667392529749e-07,4,0.286,4,14,0.0004,Other
70,Insr,Arf1,13.64,0.6,-2.87,-25.04,0.0082049472283497,4,0.333,2,6,0.0003,Other
71,Lgr6,Rspo1,2.54,1.93,-15.81,-24.78,1.0423220477571363e-55,5,0.25,1,4,0.0003,Other
72,Bmpr1b,Bmp6,3.49,2.35,-9.31,-20.73,3.4077937903842886e-20,4,0.444,4,9,0.0003,BMP
73,Il2rg,Il2,7.88,0.68,-2.44,-3.44,0.028466548391807,4,0.6,3,5,0.0002,Other
74,Cd44,Fgf1,45.04,65.3,-3.96,-7.3,0.0001591980573015,3,0.091,1,11,0.0002,Other
75,Acvr2a,Bmp7,12.91,2.08,-2.82,-3.08,0.0094799096604423,4,0.286,4,14,0.0002,Other
76,Fgfr2,Fgf1,12.09,4.81,-3.96,-7.3,0.0001591980573015,5,0.2,3,15,0.0002,FGF
77,Fgfr2,Fgf10,12.09,4.81,-3.33,-5.09,0.0017681320321255,5,0.2,3,15,0.0002,FGF
78,Acvr1b,Inhbb,7.97,1.05,-5.46,-15.34,1.109667392529749e-07,4,0.2,1,5,0.0002,Activin
79,Erbb2,Tgfa,13.67,1.35,-3.87,-2.65,0.000226413419789,4,0.125,1,8,0.0001,EGF
80,Fgfr2,Fgf16,12.09,4.81,-4.05,-4.56,0.0001095520986479,3,0.2,3,15,0.0001,FGF
81,Fgfr1,Fgf1,9.19,-25.93,-3.96,-7.3,0.0001591980573015,5,0.083,1,12,0.0001,FGF
82,Bmpr1b,Bmp7,3.49,2.35,-2.82,-3.08,0.0094799096604423,4,0.444,4,9,0.0001,BMP
83,Cav1,Bst1,13.03,-61.47,-2.43,-3.0,0.028622617469138,3,0.2,1,5,0.0001,Other
