rank,receptor,ligand,r_logfc,l_logfc,l_padj,n_db,db_weight,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway
112,Acvr2a,Bmp7,2.08,-3.08,0.0094799096604423,4,0.8,0.286,4,14,0.0146,Activin
113,Igf2r,Igf2,65.7,-0.2,0.0176981039462366,5,1.0,0.667,2,3,0.0137,IGF
114,Il2rg,Il2,0.68,-3.44,0.028466548391807,4,0.8,0.6,3,5,0.0112,Other
115,Epha1,Efna2,2.2,-1.9,2.2192741468734434e-18,3,0.6,0.4,2,5,0.01,Other
116,Grin2d,Hras,1.82,-0.89,5.4342226013183566e-192,3,0.6,1.0,2,2,0.0097,Other
117,Neo1,Ntn3,49.09,-0.06,0.0096173053737571,4,0.8,1.0,4,4,0.0049,Other
118,Lrp6,Rspo3,12.87,-0.21,5.704826368325124e-07,4,0.8,0.25,2,8,0.0043,Wnt
119,Insr,Hras,0.6,-0.89,5.4342226013183566e-192,4,0.8,1.0,6,6,0.0043,Other
120,Igf2r,Plau,65.7,-0.07,0.0415923523155702,4,0.8,0.667,2,3,0.0037,IGF
121,Erbb2,Tgfa,1.35,-2.65,0.000226413419789,4,0.8,0.125,1,8,0.0036,EGF
122,Fzd8,Rspo3,17.09,-0.21,5.704826368325124e-07,4,0.8,0.2,1,5,0.0034,Wnt
123,Lgr6,Rspo3,1.93,-0.21,5.704826368325124e-07,5,1.0,0.5,2,4,0.0021,Other
124,Plaur,Plau,3.18,-0.07,0.0415923523155702,5,1.0,0.5,2,4,0.0011,Other
125,Insr,Igf2,0.6,-0.2,0.0176981039462366,4,0.8,1.0,6,6,0.001,Other
126,Itga5,Angpt1,17.47,-0.02,2.572906970629661e-76,4,0.8,0.308,4,13,0.0006,Other
127,Itgb1,Angpt1,334.47,-0.02,2.572906970629661e-76,3,0.6,0.2,7,35,0.0003,Other
