rank,receptor,ligand,r_logfc,l_logfc,n_db,starvation,mismatch_composite,pathway,h_receptor,h_ligand,conservation,conservation_score,drug_receptor,drug_ligand,druggability_auto,lit_receptor,lit_ligand,literature_auto,mismatch_norm,priority_score
111,Bmpr1b,Bmp6,2.35,-20.73,4,0.444,0.0835,BMP,BMPR1B,BMP6,mouse_only,0.2,0.697,0.0,0.20909999999999998,0.403,0.56,0.48150000000000004,0.0835,0.22316999999999998
112,Plxna2,Sema6a,1.98,-7.57,4,0.5,0.0601,Sema,PLXNA2,SEMA6A,mouse_only,0.2,0.1,0.461,0.3527,0.361,0.3,0.3305,0.0601,0.21467000000000003
113,Lgr6,Rspo3,1.93,-0.21,5,0.5,0.0021,Other,LGR6,RSPO3,mouse_only,0.2,0.595,0.261,0.36119999999999997,0.387,0.395,0.391,0.0021,0.21106999999999998
114,Acvr2a,Bmp6,2.08,-20.73,4,0.286,0.0475,Activin,ACVR2A,BMP6,mouse_only,0.2,0.723,0.0,0.21689999999999998,0.315,0.56,0.4375,0.0475,0.20513
115,Lrp6,Rspo3,12.87,-0.21,4,0.25,0.0043,Wnt,LRP6,RSPO3,mouse_only,0.2,0.0,0.261,0.1827,0.614,0.395,0.5045,0.0043,0.19873
116,Fzd8,Rspo3,17.09,-0.21,4,0.2,0.0034,Wnt,FZD8,RSPO3,mouse_only,0.2,0.297,0.261,0.2718,0.34,0.395,0.36750000000000005,0.0034,0.18888
117,Itgb3,Itgb3bp,4.57,-2.74,3,0.455,0.0342,Other,ITGB3,ITGB3BP,mouse_only,0.2,0.646,0.0,0.1938,0.646,0.095,0.3705,0.0342,0.18312
118,Unc5c,Ntn1,1.56,-35.44,5,1.0,0.1561,Other,UNC5C,NTN1,mouse_only,0.2,0.0,0.0,0.0,0.22,0.54,0.38,0.1561,0.18283
119,Fzd3,Myoc,3.23,-153.04,3,0.333,0.0647,Wnt,FZD3,MYOC,mouse_only,0.2,0.461,0.0,0.1383,0.245,0.451,0.348,0.0647,0.17667
120,Itga9,Adam15,12.0,-6.47,4,0.125,0.0647,Other,ITGA9,ADAM15,mouse_only,0.2,0.297,0.0,0.0891,0.328,0.429,0.3785,0.0647,0.17293
121,Acvr2a,Inhbb,2.08,-15.34,4,0.286,0.0475,Activin,ACVR2A,INHBB,mouse_only,0.2,0.723,0.0,0.21689999999999998,0.315,0.095,0.20500000000000002,0.0475,0.15863
122,Robo2,Slit3,1.37,-8.0,4,0.333,0.0291,Other,ROBO2,SLIT3,mouse_only,0.2,0.0,0.0,0.0,0.403,0.429,0.41600000000000004,0.0291,0.15193
123,Itgb5,Itgb3bp,150.65,-2.74,3,0.6,0.0986,Other,ITGB5,ITGB3BP,mouse_only,0.2,0.343,0.0,0.1029,0.315,0.095,0.20500000000000002,0.0986,0.15116000000000002
124,Lrp8,Lrpap1,1.57,-8.48,4,0.5,0.0531,Other,LRP8,LRPAP1,mouse_only,0.2,0.0,0.0,0.0,0.423,0.284,0.3535,0.0531,0.14662999999999998
125,Jmjd6,Ptdss1,3.11,-6.26,3,1.0,0.1168,Other,JMJD6,PTDSS1,mouse_only,0.2,0.0,0.0,0.0,0.284,0.15,0.21699999999999997,0.1168,0.13844
126,Acvr1b,Inhbb,1.05,-15.34,4,0.2,0.0169,Activin,ACVR1B,INHBB,mouse_only,0.2,0.0,0.0,0.0,0.423,0.095,0.259,0.0169,0.11687
127,Neo1,Ntn3,49.09,-0.06,4,1.0,0.0049,Other,NEO1,NTN3,mouse_only,0.2,0.0,0.0,0.0,0.284,0.095,0.1895,0.0049,0.09937
