ligand,receptor
Ccl27,Mtnr1a
Tgs1,Rxra
Mmp7,Cd44
Mmp7,Sdc1
Mmp7,Cd151
Mmp7,Erbb4
Thbs1,Itga4
Thbs1,Sdc1
Thbs1,Itgb1
Thbs1,Lrp5
Adam10,Il6r
Adam10,Met
Thbs1,Itga2b
Thbs1,Itgb3
Thbs1,Scarb1
Thbs1,Itga6
Thbs1,Tnfrsf11b
Adam10,Tspan17
Thbs1,Cd36
Adam10,Gpnmb
Adam10,Tspan5
Adam10,Tspan15
Adam10,Tspan10
Adam10,Cadm1
Adam10,Tspan14
Adam10,Epha3
Adam10,Trem2
Adam10,Axl
Adam10,Nrcam
Wnt5a,Antxr1
Lyz,Itgal
Vwf,Scara5
Vwf,Itga2b
Vwf,Itgb3
Vwf,Stab2
Vwf,Selp
Vwf,Sirpa
Vwf,Gp1ba
Cdh1,Egfr
Fgf10,Fgfrl1
Cdh1,Lrp5
Cdh1,Igf1r
Cdh1,Erbb3
Cdh1,Cdh2
Cdh1,Ptprm
Cdh1,Ptprf
Rims2,Abca1
Anos1,Fgfr1
Timp2,Cd44
Timp2,Itgb1
Lgals3bp,Itgb1
Il37,Il1rapl1
Il1a,Il1rap
Il1b,Sigirr
Il1b,Adrb2
Mia,Cdh7
Cntn3,Ptprg
Cklf,Ccr4
Farp2,Plxna3
Icam1,Muc1
Farp2,Plxna1
Farp2,Plxna2
Farp2,Plxna4
Lamc2,Itga6
Lamc2,Cd151
Lamc2,Itgb1
Calm2,Scn4a
Lamc2,Itga2
Lamc2,Col17a1
Nid1,Itgb1
Nid1,Itgb3
Nid1,Col13a1
Icam1,Egfr
Nid1,Ptprf
Nmu,Adra2a
Nmu,Grm7
Nmu,Mtnr1a
Fgf2,Cd44
Fgf2,Sdc3
Fgf2,Gpc4
Fgf2,Fgfrl1
Wnt5a,Ptk7
Wnt5a,Ldlr
Wnt5a,Epha7
Wnt5a,Vangl2
Wnt5a,Ptprk
Wnt5a,Adrb2
Wnt5a,Fzd9
Wnt5a,Fzd8
Icam1,Cav1
Icam1,Il2ra
Icam1,Il2rg
Erbb4,Egf
F13a1,Itga4
F13a1,Itgb1
Bst1,Cav1
Kng1,Itgam
Kng1,Adra2a
Kng1,Rxfp4
Kng1,Plaur
Kng1,Mtnr1a
Kng1,Itgb2
Kng1,Sdc2
Kng1,Grm7
Kng1,Gp1ba
Egf,Nrp1
Egf,Axl
Vcan,Itga4
Vcan,Egfr
Vcan,Itgb1
Vcan,Tlr1
Tnc,Itga5
Crh,Pth1r
Tnc,Sdc1
Tnc,Egfr
Tnc,Ptprb
Tnc,Itga7
Crh,Vipr1
Egf,Ldlr
Egf,Fshr
Egf,Adrb2
Egf,Cav1
Egf,Rhbdl2
Egf,Erbb4
Sema3c,Plxnd1
Sema3c,Nrp1
Sema3a,Nrp2
Wnt2,Fzd8
Wnt2,Fzd2
Nptx2,Nptxr
Gal,Adra2a
Gal,Mtnr1a
Gal,Grm7
Gal,Gpr151
Crh,Gpr20
Adam2,Itgb1
Cd9,Adam2
Adam2,Cd9
Adam2,Itga6
Dhh,Boc
Adam2,Itgb7
Adam28,Itga4
Slit1,Flrt3
Timp3,Cd44
Timp3,Met
Inhbe,Acvr2b
Lum,Itgb1
Dhh,Cdon
Fgf7,Fgfr4
Fgf7,Fgfr1
Fgf7,Fgfr3
Calm2,Aqp1
Hdc,Hrh1
Hdc,Hrh2
Hdc,Hrh3
Mfge8,Itgb3
Igfbp4,Fzd8
Pth2,Adcyap1r1
Pth2,Tshr
Pth2,Gpr20
Pth2,Gpr84
Pth2,Adrb2
Pth2,Adrb3
Pth2,Vipr1
Cgn,F11r
Cgn,Tgfbr2
Cgn,Ocln
Cgn,Tgfbr1
Lefty1,Acvr2b
Lefty1,Acvr1b
Wnt3a,Ror1
Calm2,Kcnq3
Calm2,Kcnq5
Calm2,Adcy8
Calm2,Gp6
Calm2,Scn10a
Calm2,Plpp6
Calm2,Aqp6
Calm2,Grm5
Nxph2,Nrxn1
Lrig1,Met
Ucn2,Il10rb
Sfrp2,Fzd5
Crh,Adcyap1r1
Crh,Adrb2
Crh,Gpr84
Crh,Adrb3
Crh,Tshr
Rspo2,Znrf3
Ifna1,Cr2
Lin7c,Abca1
Lin7c,Kcnj4
Gpha2,Epha6
Il18,Cd48
Il18,Il1rapl1
Il18,Il18bp
Qdpr,Dysf
Pigf,Flt1
Pth,Adcyap1r1
Pth,Adrb2
Pth,Gpr84
Pth,Vipr1
Pth,Gpr20
Pth,Adrb3
Pth,Tshr
Bmp3,Acvr2b
Bmp6,Hjv
Sema3d,Plxnd1
Wnt3a,Atp6ap2
Wnt3a,Apcdd1
App,Vldlr
App,Mtnr1a
App,Grm7
App,Lrp10
App,Pld1
App,Tspan15
App,Dcc
App,Cav1
App,Rpsa
App,Ncstn
App,Ager
Wnt7a,Ldlr
Wnt7a,Reck
Dkk2,Kremen2
Wif1,Ryk
Adamts3,Ccbe1
Cxcl13,Ccr10
Cxcl13,Grm7
Cxcl13,Mtnr1a
Nodal,Smad3
Sst,Mtnr1a
Sst,Grm7
Wnt4,Fzd8
Wnt4,Fzd2
Ace,Bdkrb2
Agrp,Sdc3
Pip,Aqp5
Calm3,Kcnq3
Calm3,Kcnq5
Calm3,Esr1
Calm3,Ryr2
Calm3,Gp6
Calm3,Scn10a
Calm3,Aqp6
Calm3,Grm5
Calm3,Ar
Calm3,Aqp1
Cxcl16,Mtnr1a
Calm3,Scn4a
Tff2,Muc6
Tff1,Muc5ac
S100b,Alcam
S100b,Ager
S100a1,Trpm3
S100a1,Ryr2
S100a1,Ryr1
S100a1,Tlr4
S100a1,Ager
Scgb3a1,Marco
Hcrt,Npffr2
Sstr2,Shank1
Shank1,Sstr2
Wnt1,Fzd9
Cxcl16,Grm7
Tnfsf12,Tnfrsf25
Fgf11,Fgfr2
Fgf11,Fgfr1
Fgf11,Fgfr3
Ntn3,Cdon
Draxin,Dcc
Vcam1,Ezr
Hmmr,Has2
Vcam1,Msn
Arpc5,Adrb2
Arpc5,Ldlr
Inhbb,Smad3
Neo1,Rgmb
Bmp10,Bmpr1b
Ihh,Boc
Ihh,Cdon
Cxcl3,Mtnr1a
Cxcl3,Grm7
Cxcl5,Mtnr1a
Cxcl5,Grm7
Ppbp,Mtnr1a
Ppbp,Grm7
Vegfd,Itgb1
Pf4,Fgfr2
Pf4,Sdc2
Pf4,Ackr1
Pf4,Grm7
Pf4,Ldlr
Pf4,Thbd
Pf4,Mtnr1a
Cripto,Acvr2b
Cripto,Smad3
Liph,Lpar1
Liph,Lpar4
Meltf,Tfrc
Camp,P2rx7
Il15,Il2ra
Scgb3a2,Marco
Spink1,Nrsn1
Csf2,Itgb1
Csf2,Csf2rb
Csf2,Il3ra
Csf2,Sdc2
Fabp5,Rxra
Shh,Scube2
Shh,Gpc5
Shh,Cdon
Col1a2,Cd44
Il16,Grin2b
Col1a2,Itgb3
Col1a2,Cd36
Col14a1,Cd44
Vegfd,Itga4
Vegfd,Nrp2
Arf6,Pld1
Arf6,Smap1
Jam3,Itgb1
Hsp90b1,Tlr9
Hsp90b1,Tlr7
Hsp90b1,Tlr4
Hsp90b1,Tlr1
Angptl4,Gpihbp1
Angptl4,Tie1
Fadd,Abca1
Pnoc,Grm7
Pnoc,Oprl1
Pnoc,Mtnr1a
Cd14,Tlr1
Fga,Itgad
Ccl11,Dpp4
Igf1,Insr
Igf1,Igf2r
Insl5,Mtnr1a
Insl5,Grm7
Il16,Kcnj4
Il16,Kcnj10
Il16,Grin2a
Hspa4,Tlr4
Pcsk9,Vldlr
Pcsk9,Ldlr
Bmp1,Bmpr1b
Il12a,Cd28
Cd14,Itga4
Cd14,Itgb1
Cd14,Tlr6
Cd14,Tlr9
Cd14,Itgb2
Il13,Tmem219
Il13,Il2rg
Nlgn2,Mdga1
Cxcl10,Dpp4
Cxcl10,Grm7
Bmp1,Bmpr2
Bmp1,Bmpr1a
Fgb,Itgb1
Fgb,Tlr4
Fga,Tlr4
Cxcl11,Grm7
Fga,Plaur
Fga,Cdh5
Adam17,Met
Cxcl8,Sdc1
Cxcl8,Sdc3
Cxcl8,Grm7
Cxcl11,Dpp4
Dpp4,Cxcl11
Cxcl11,Ackr1
Has2,Hmmr
Has2,Cd44
Nptx1,Nptxr
Rgmb,Hjv
Rgmb,Bmpr2
Rgmb,Neo1
Calca,Gpr84
Rgmb,Bmpr1b
F2,Gp1bb
F2,Thbd
F2,Gp1ba
Inhbc,Acvr2b
Ccl19,Ccr10
Ccl19,Grm7
Ccl19,Ackr2
Plg,Itgam
Plg,Itgb1
Plg,Plaur
Plg,Itgb2
Clcf1,Crlf1
Cshl1,Ghr
Lpl,Gpihbp1
Lpl,Cd44
Calca,Gpr20
Lpl,Sdc1
Lpl,Vldlr
Efemp2,Aqp1
Efemp2,Plscr4
Adam17,Itgb1
Adam17,Rhbdf2
Adam17,Il6r
Adam17,Erbb4
Vegfb,Ret
Gnai2,Lpar3
Gnai2,S1pr5
Gnai2,Adora1
Gnai2,C5ar1
Gnai2,F2r
Gnai2,Fpr1
Gnai2,S1pr3
Gnai2,Oprm1
Gnai2,Unc5b
Gnai2,Cav1
Gnai2,Ptpru
Gnai2,Tbxa2r
Gnai2,Cxcr3
Gnai2,Ednrb
Gnai2,Cxcr2
Gnai2,Drd2
Drd2,Gnai2
Gnai2,Adcy7
Gnai2,Tshr
Tshr,Gnai2
Angpt2,Tie1
Csh1,Prlr
Agtrap,Rack1
Pkm,Cd44
Calr,Mpl
Calr,Tshr
Lpa,Itgam
Lpa,Lpar3
Lpa,Itgb2
Lpa,Lpar1
Lpa,Lpar4
Lpa,Lpar2
Fgf13,Fgfr1
Csf1,Sirpa
Fgf13,Fgfr2
Fgf13,Fgfr3
Mmp1,Cd44
Penk,Grm7
Lama3,Itgb1
Sema6d,Trem2
Trem2,Sema6d
Izumo1,Cd9
Plxna1,Sema6d
Wnt11,Klrg2
Fbn1,Itgb3
Psen1,Cd44
Bgn,Tlr1
Izumo1,Izumo1r
P4hb,Mttp
Efna5,Epha10
Efna5,Ephb1
Npw,Grm7
Cntn2,Cntnap2
Cntn2,Cntn1
Cntn1,Cntn2
Cntn2,Nrcam
Bcan,Nrcam
Fbln1,Itgb1
Calca,Adcyap1r1
Calca,Adrb3
Calca,Tshr
Col4a5,Cd47
Slit3,Robo2
Slit3,Robo1
Pmch,Grm7
Npb,Grm7
Btla,Cd247
Tac4,Tacr2
Fgf3,Fgfr3
Ghrl,Ptger3
Ghrl,Tbxa2r
Hsp90aa1,Itgb3
Hsp90aa1,Fgfr3
Fgg,Itgb1
Fgg,Tlr4
Rtn4,Tnfrsf19
Rtn4,Gjb2
C1qtnf1,Avpr2
Dmp1,Phex
Dmp1,Itgb3
Ntn4,Dcc
Ptn,Sdc1
Ptn,Ptprs
Col9a3,Mag
Icam4,Itgam
Icam4,Itga4
Icam4,Itgb3
Icam4,Itgb1
Rhag,Icam4
Icam4,Rhag
Tnfsf13,Tnfrsf14
Tnfsf13,Fas
Hmgb1,Tlr9
Hmgb1,Thbd
Hmgb1,Cxcr4
Hmgb1,Cd163
Fyn,Spn
Fn1,Col13a1
Fn1,C5ar1
Fn1,Itga6
Fn1,Dpp4
Fn1,Cd44
Fn1,Tshr
Fn1,Mag
Col18a1,Itgb3
Col18a1,Gpc4
Thbs2,Itgb3
Hp,Itgam
Hp,Itgb2
Hp,Tlr4
Hp,Cd163
Rspo1,Fzd8
Adam15,Itgb1
Adam15,Itgb3
Calm1,Kcnq3
Calm1,Grm3
Calm1,Calcr
Calm1,Grm4
Calm1,Crhr1
Calm1,Hmmr
Calm1,Adcyap1r1
Calm1,Oprm1
Calm1,Ryr2
Calm1,Glp1r
Calm1,Scn10a
Calm1,Aqp6
Calm1,Ptpra
Calm1,Scn4a
Vip,Gpr84
Gip,Adcyap1r1
Gip,Dpp4
Gip,Tshr
Gip,Gpr20
Gip,Gpr84
Apoa4,Ldlr
Nrp2,Sema4f
Sema4f,Nrp2
Gad1,Grm4
Itih2,Fcer1a
Pyy,Dpp4
Pyy,Npy1r
F8,Ldlr
Col4a2,Itgb3
Lamc3,Itga6
Lamc3,Itgb1
Col6a1,Itga6
Tgm2,Itga4
Tgm2,Itgb1
Tgm2,Itgb3
Tgm2,Sdc4
Tgm2,Tbxa2r
Thbs2,Itga4
Thbs2,Itgb1
Thbs2,Notch4
Thbs2,Itga6
Thbs2,Cd36
Lefty2,Acvr1b
Tgfb2,Eng
C4bpa,Bmpr2
Vip,Gpr20
Vip,Tshr
Cfh,Itgam
Ptgs2,Alox5
Xcl1,Adgrv1
Ccn2,Itgam
Ccn2,Ntrk1
Ccn2,Itgb2
Apoa2,Ldlr
Efna1,Ephb6
Efna1,Epha10
Efna1,Ephb1
Efna3,Ephb6
Efna3,Epha10
Avp,Tshr
Efna3,Ephb1
Ephb1,Efna3
S100a8,Itgb2
S100a8,Cd36
S100a12,Tlr4
S100a12,Cd36
S100a9,Itgb2
S100a9,Cd36
Ngf,Sorcs2
Ngf,Trpv1
Ngf,Maged1
Nrxn1,Rph3a
Ngf,Bex3
L1cam,Fgfr2
L1cam,Ephb2
L1cam,Cntn1
Calcb,Adcyap1r1
Col11a1,Ddr1
Cd40lg,Itgam
Cd40lg,Itgb2
Cd40lg,Traf3
Mmp9,Itgam
Gnas,Adcy7
Angptl3,Itgb3
Rbp4,Stra6
Cel,Cxcr4
Sftpd,Tlr4
Mmp9,Cd44
Mmp9,Itgb2
Sptan1,Ptpra
Plau,Itgam
Plau,Vldlr
Plau,Itgb1
Plau,Itgb2
Angptl2,Lilrb2
Ghrh,Adcyap1r1
Ghrh,Gpr20
Ghrh,Tshr
Ghrh,Gpr84
Hspg2,Sdc1
Hspg2,Fgfr1
F10,Itgam
F10,Itgb2
Syk,Lat
Calcb,Tshr
Fgf14,Fgfr2
Fgf14,Fgfr1
Hla-c,Cd3g
Hla-c,Kir3dl1
Hla-e,Kir3dl1
Actr2,Ldlr
Ndp,Lgr4
Gdf9,Bmpr1b
Agrn,Itgb1
Insl3,Adcyap1r1
Insl3,Tshr
Insl3,Gpr84
Insl3,Rxfp1
Avp,Adcyap1r1
Avp,Ldlr
Avp,Gpr84
Ucn3,Crhr1
Shbg,Cldn4
Rln2,Adcyap1r1
Rln2,Tshr
Rln2,Gpr84
Zg16b,Cxcr4
Rph3a,Nrxn1
Lama1,Itga6
Lama1,Itga7
Ccl25,Ackr2
Lamb3,Cd151
Lamb3,Itgb1
Lamb3,Itga6
Afdn,Nrxn3
Il1f10,Il1r1
Calcb,Gpr84
Lgals9,Cd44
Lgals9,Slc1a5
Adm2,Adcyap1r1
Adm2,Tshr
Adm2,Gpr84
Cxcl12,Itgb1
Adm,Adcyap1r1
Col4a3,Itgb3
Col4a4,Itgb3
Hla-a,Cd3g
Cntn4,Ptprg
C4a,C5ar2
Tctn1,Tmem67
Pdcd1lg2,Pdcd2
Nps,Adcyap1r1
Nps,Gpr84
Nps,Tshr
Dscam,Dcc
Pomc,Adcyap1r1
Hspa8,Ldlr
Pomc,Oprm1
Pomc,Gpr84
Pomc,Tshr
Fbln2,Itgb3
Saa1,Fpr1
Mdk,Itga6
Tf,Ldlr
Tf,Tfr2
Tf,Hfe
Artn,Gfra2
Gcg,Adcyap1r1
Gcg,Gpr84
Gcg,Tshr
Adipoq,Gpr42
Ptpn6,Cd300lf
Ntf3,Ntrk1
Rln3,Adcyap1r1
Rln3,Tshr
Rln3,Gpr84
Tnf,Ffar2
Ccn1,Itgam
Ccn1,Itgb3
Hla-b,Cd3g
Lama2,Itga7
Icam2,Itgam
Fshb,Adcyap1r1
Fshb,Tshr
Fshb,Gpr84
C1qtnf5,Mfrp
Adm,Tshr
Adm,Gpr84
Pthlh,Adcyap1r1
Pthlh,Gpr84
Cga,Adcyap1r1
S100a10,Cftr
Shank2,Cftr
Hsp90aa1,Cftr
Plau,Itga3
Lama3,Itga3
Lama4,Itga3
Lama2,Itga3
Lama1,Itga3
Lgals8,Itga3
Nid1,Itga3
Lamc3,Itga3
Thbs1,Itga3
Timp2,Itga3
Lamb2,Itga3
Col4a3,Itga3
Lama5,Itga3
Slpi,Cd4
Adam9,Itga3
Lamc1,Itga3
Lamb3,Itga3
Col18a1,Itga3
Vtn,Itga3
Hp,Cd22
Lamb1,Itga3
Lamc2,Itga3
Hla-g,Cd4
Cxcl12,Cd4
Pip,Cd4
Cpamd8,Sctr
Calm1,Sctr
Rtn4r,Rtn4
Rtn4,Rtn4r
Omg,Rtn4r
Cd70,Tnfrsf17
Calm2,Kcnq1
Calml3,Kcnq1
Calm1,Kcnq1
Calm3,Kcnq1
Tnfsf13,Tnfrsf1a
Ltb,Tnfrsf1a
Il2,Ngfr
Rtn4,Ngfr
Ntf4,Ngfr
Ntf3,Ngfr
Omg,Ngfr
App,Ngfr
Nts,Ngfr
Bdnf,Drd4
Pyy,Fap
Npy,Fap
Lama3,Itgb4
Lama2,Itgb4
Lamc3,Itgb4
Lamb2,Itgb4
Lama5,Itgb4
Ghrh,Ramp3
Lamc1,Itgb4
Lama1,Itgb4
Lamb3,Itgb4
Lamb1,Itgb4
Cga,Ramp3
Lamc2,Itgb4
Fgf1,Tgfbr3
Inhba,Tgfbr3
Proc,Procr
Pf4,Procr
Fam3c,Glra2
Ghrl,Mlnr
Col2a1,Tnfrsf10a
Rims1,Slc17a7
App,Aplp1
Btla,Cd79a
Cxcl8,Cd79a
Fn1,Cd79a
Klk3,Epor
Kitlg,Epor
Lama1,Itgb8
Vtn,Itgb8
Gnai2,Oprd1
Col4a1,Itgb8
Fn1,Itgb8
App,Tspan12
Adam10,Tspan12
Hbegf,Cd82
Il22,Il10ra
S100a8,Cd69
Oprd1,Gnai2
Cxcl13,Oprd1
Calm2,Sell
Calm1,Sell
Calm3,Sell
Raet1l,Klrk1
Gcg,Ramp3
Raet1g,Klrk1
Inhbc,Acvr2a
Gdf9,Acvr2a
Cfc1,Acvr2a
Nodal,Acvr2a
Bmp15,Acvr2a
Lefty1,Acvr2a
Inha,Acvr2a
Gdf1,Acvr2a
Tshb,Ramp3
Pth2,Ramp3
Inhbe,Acvr2a
Lefty2,Acvr2a
Avp,Ramp3
Adcyap1,Ramp3
Vip,Ramp3
Pth,Ramp3
Pthlh,Ramp3
Nps,Ramp3
Fshb,Ramp3
Pomc,Ramp3
Rln2,Ramp3
Rln3,Ramp3
Gip,Ramp3
Crh,Ramp3
Insl3,Ramp3
Apoa2,Lrp1
Agrn,Lrp1
Gpc3,Lrp1
Pdgfb,Lrp1
A2m,Lrp1
Apoc2,Lrp1
Serpine2,Lrp1
Hspg2,Lrp1
Mmp13,Lrp1
Apoe,Lrp1
Pcsk9,Lrp1
Mmp9,Lrp1
Hsp90b1,Lrp1
Plau,Lrp1
Lrpap1,Lrp1
C3,Lrp1
Fcn2,Lrp1
Thbs1,Lrp1
Apoa4,Lrp1
C1qb,Lrp1
C4bpa,Lrp1
Vwf,Lrp1
F8,Lrp1
Ccn2,Lrp1
Hpx,Lrp1
App,Lrp1
Lpl,Lrp1
Lipc,Lrp1
Pf4,Lrp1
Psap,Lrp1
Wnt3a,Lrp1
Cripto,Acvr1c
App,Ptger2
F12,Cd93
Col4a3,Cd93
Col4a6,Cd93
Col4a5,Cd93
Kng1,Cd93
Sftpa2,Cd93
Col4a2,Cd93
Col4a4,Cd93
Mbl2,Cd93
Col1a2,Cd93
Col4a1,Cd93
Gnai2,S1pr4
Kiss1,Mmp24
Igfl2,Igflr1
Fadd,Traf2
Cga,Ramp2
Igfl1,Igflr1
Igfl3,Igflr1
Hla-b,Canx
Tnfsf4,Traf2
Traf2,Tnfsf4
Tnf,Traf2
Gstp1,Traf2
Galp,Galr3
Wnt4,Smo
Bmp2,Smo
Shh,Smo
Ccl11,Ackr4
Ghrh,Ramp2
Ccl7,Ackr4
Ccl8,Ackr4
S100a9,Cd68
S100a8,Cd68
Pdgfb,Art1
Hla-a,Lilra1
Hla-c,Lilra1
Hla-b,Lilra1
Adcyap1,Ramp2
Gcg,Ramp2
Tshb,Ramp2
Pth2,Ramp2
Avp,Ramp2
Vip,Ramp2
Pth,Ramp2
Pthlh,Ramp2
Nps,Ramp2
Fshb,Ramp2
Pomc,Ramp2
Rln2,Ramp2
Rln3,Ramp2
Gip,Ramp2
Crh,Ramp2
Insl3,Ramp2
Vip,Ramp1
Guca2b,Gucy2d
Clec3a,Clec10a
Chrm3,Arf1
Fgf21,Klb
Arf1,Chrm3
Vegfc,Lyve1
Pcsk9,Sort1
Ngf,Sort1
Bdnf,Sort1
Fgf19,Klb
Psap,Sort1
App,Notch2
Ngf,Kidins220
Hdc,Hrh4
Gnai2,Mtnr1b
Pdgfd,Pdgfra
Lama1,Nt5e
Fn1,Nt5e
Calm1,Mip
Lta,Ripk1
Cd14,Ripk1
Calr,Hla-f
B2m,Hla-f
Hmgb1,Tlr2
Ccn1,Tlr2
Hsp90b1,Tlr2
Saa1,Tlr2
Ccn6,Sorl1
Mdk,Sorl1
App,Sorl1
Plau,Itgav
Edil3,Itgav
Col4a6,Itgav
Col4a5,Itgav
Nid1,Itgav
Pdgfb,Itgav
Icam4,Itgav
Col4a4,Itgav
Ccn1,Itgav
Col1a2,Itgav
Fga,Itgav
Col4a3,Itgav
Fgb,Itgav
Fbn1,Itgav
Angptl3,Itgav
Azgp1,Itgav
Adam9,Itgav
Vegfa,Itgav
Adam15,Itgav
Nms,Adra2a
Col4a1,Itgav
Cp,Slc40a1
Igfbp4,Lrp6
Vegfa,Tyro3
Pth,Lrp6
App,Lrp6
Cklf,Lrp6
Dkk2,Lrp6
Saa1,Scarb1
Col2a1,Itga2b
Mfge8,Pdgfrb
Pdgfa,Pdgfrb
Tnf,Flt4
Col1a2,Flt4
Fn1,Flt4
Lgals3bp,Cd33
Gdf2,Acvr1
Asip,Mgrn1
F2,Itga2b
Calr,Itga2b
Cd81,Gpc3
Col1a2,Itga2b
Calm1,Glp2r
Calm2,Trpc5
Calm1,Trpc5
Calm3,Trpc5
Calm1,Kcnn4
Calr,Scarf1
Arf1,Pld2
Egf,Pld2
Crisp3,A1bg
Hspa1a,Grin2d
Cd99,Cd81
Egf,Lrp2
Thbs2,Notch3
Scgb3a1,Notch3
Clcf1,Lifr
App,Aplp2
Hla-a,Aplp2
Pcsk9,Aplp2
Inhbb,Acvr1
Tnfsf12,Tnfrsf8
Bmp2,Acvr1
Gdf5,Acvr1
Tgfb2,Acvr1
Gpc3,Cd81
Mdk,Lrp2
Plau,Lrp2
Lrpap1,Lrp2
Arpc5,Lrp2
Agt,Lrp2
Gc,Lrp2
Avp,Lrp2
Alb,Lrp2
Apoa2,Lrp2
Agrn,Lrp2
Gpc3,Lrp2
Tf,Lrp2
Ins,Lrp2
Lpa,Lrp2
Apoa4,Lrp2
Cubn,Lrp2
Hspa8,Lrp2
Scgb1a1,Lrp2
Apoc2,Lrp2
Hspg2,Lrp2
Lpl,Lrp2
Wnt5a,Lrp2
Lcn2,Lrp2
Actr2,Lrp2
Lep,Lrp2
Kdr,Sema6d
Cxcl8,Kdr
Col18a1,Kdr
Wnt5a,Mcam
Lama1,Gpc1
Cripto,Gpc1
Bmp2,Gpc1
Nrg1,Gpc1
App,Gpc1
Serpinc1,Gpc1
Col18a1,Gpc1
Shh,Gpc1
Vegfa,Gpc1
Il18,Il1rl2
Il18,Il18rap
Cntnap1,Rtn4
Rtn4,Cntnap1
Vegfc,Itga9
Adam2,Itga9
Plg,Itga9
F13a1,Itga9
Vegfd,Itga9
Adam12,Itga9
Cxcl3,Adra2a
Tgm2,Itga9
Vegfa,Itga9
Csf2,Itga9
Adam15,Itga9
Fn1,Itga9
Calm1,Cacna1c
Nppc,Npr3
Nppb,Npr3
Vip,Npr3
Nppa,Npr3
Agt,Enpep
Sema3d,Nrp1
Sema3e,Nrp1
Cntn2,Nrp1
Afdn,Nrxn2
Camp,Igf1r
Calm2,Cacna1c
Ncam1,Cacna1c
Rims1,Cacna1c
Hsp90b1,Asgr1
Calm3,Cacna1c
Wnt3a,Lgr5
Nrg3,Erbb3
Areg,Erbb3
Erbb3,Areg
Ccl5,Adra2a
Tgfa,Erbb3
Scgb1a1,Lmbr1l
Gpc3,Igf1r
Gnai2,Igf1r
Cxcl11,Adra2a
Hp,Asgr1
S100a4,Erbb2
Nrg3,Erbb2
Erbb2,Sema4d
Sema4d,Erbb2
Hla-a,Erbb2
Erbb2,Hla-a
Ifna5,Ifnar1
Nrg4,Erbb2
Hsp90b1,Erbb2
L1cam,Erbb2
Nrg2,Erbb2
Hsp90aa1,Erbb2
Btc,Erbb2
Ifna16,Ifnar1
Ifna14,Ifnar1
Ifna4,Ifnar1
Ifna6,Ifnar1
Ifna10,Ifnar1
Ifna8,Ifnar1
Mmp9,Ifnar1
Ifna21,Ifnar1
Bcan,Egfr
Ifna2,Ifnar1
Tnf,Celsr2
Cxcl9,Fcgr2a
Ptpn11,Fcrl4
Ptpn6,Fcrl4
Tff1,Fcrl4
Calm1,Pth2r
Nrtn,Gfra3
Gdnf,Gfra3
Gnai2,Adra2a
S100a4,Egfr
Zp3,Egfr
Nrg1,Egfr
Fgf1,Egfr
Nrg4,Egfr
L1cam,Egfr
Fgl1,Egfr
Fgf13,Egfr
Adra2a,Gnai2
Agt,Adra2a
Hsp90aa1,Egfr
Camp,Egfr
Cntf,Egfr
Ccn2,Egfr
Lrig2,Egfr
Vegfa,Egfr
Calm1,Htr2c
Faslg,Tnfrsf10b
Ntf3,Ntrk2
Tnf,Notch1
Wnt4,Notch1
Ntng2,Lrrc4c
Spint1,St14
Pdyn,Adra2a
Cxcl12,Adra2a
Apln,Adra2a
Sst,Adra2a
Insl5,Adra2a
Npy,Adra2a
Ccl25,Adra2a
Pomc,Adra2a
Saa1,Adra2a
Cxcl8,Adra2a
Pyy,Adra2a
Ccl16,Adra2a
Cxcl2,Adra2a
Cxcl13,Adra2a
Cxcl10,Adra2a
Ppbp,Adra2a
Pmch,Adra2a
Cxcl5,Adra2a
Ccl19,Adra2a
Pnoc,Adra2a
App,Adra2a
Cxcl1,Adra2a
Npb,Adra2a
Ppy,Adra2a
Cxcl9,Adra2a
Cxcl16,Adra2a
Ccl20,Adra2a
Npw,Adra2a
Penk,Adra2a
Ccl28,Adra2a
Rln3,Adra2a
Pf4,Adra2a
Cort,Adra2a
Anxa1,Adra2a
Npy,Mtnr1a
Pdgfc,Flt1
Vegfc,Flt1
Plg,Flt1
Vegfd,Flt1
Sorbs1,Itga1
Lama2,Itga1
Lama1,Itga1
Vegfd,Itga1
Matn1,Itga1
Fbn1,Itgb6
Fn1,Itgb6
Sftpd,Ly96
Bgn,Ly96
Gnas,Adcy8
Il16,Ccr5
Gnai2,Adcy8
Calm3,Adcy8
Wnt4,Fzd1
Ccl25,Mtnr1a
B2m,Cd1a
Il24,Il10rb
Ucn3,Il10rb
Penk,Ogfr
Pip,Nptn
Ghrl,Ptgir
S100a4,Ccr5
Pomc,Mtnr1a
Mdk,Gpc2
Fgf21,Fgfr4
Fgf3,Fgfr4
Fgf14,Fgfr4
Fgf11,Fgfr4
Fgf13,Fgfr4
Fgf12,Fgfr4
Plau,Itga5
Spp1,Itga5
Ccn1,Itga5
Adam15,Itga5
Fga,Itga5
Vegfd,Itga5
Angpt1,Itga5
Col18a1,Itga5
Adam17,Itga5
Angptl3,Itga5
Gnai2,Adcy9
Gnai2,Lhcgr
Gnas,Lhcgr
Gnai2,Cxcr1
Cxcl3,Cxcr1
Cxcl2,Cxcr1
Sorbs1,Itgb5
Il17a,Il17rc
Fn1,Il17rc
Ccl18,Ccr1
Plau,Itgb5
Edil3,Itgb5
Vip,Avpr1a
Spp1,Itgb5
Col4a2,Itgb5
Ccn1,Itgb5
Adam9,Itgb5
