rank,receptor,ligand,r_score,r_logfc,l_score,l_logfc,l_padj,n_db,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway,h_receptor,h_ligand,conservation,conservation_score,lig_deliver,lig_dgidb,rec_dgidb,druggability,lit_receptor,lit_ligand,literature,mismatch_norm,priority_score
72,Acvr2a,Inhbb,12.91,2.08,-5.46,-15.34,1.109667392529749e-07,4,0.286,4,14,0.0004,Other,ACVR2A,INHBB,mouse_only,0.2,1.0,0.0,0.723,0.6369,0.315,0.095,0.20500000000000002,0.0068610634648370505,0.23043831903945114
73,Lrp6,Igfbp4,42.56,12.87,-86.74,-inf,0.0,4,0.2,2,10,0.0148,Wnt,LRP6,IGFBP4,mouse_only,0.2,0.3,0.1,0.0,0.154,0.614,0.0,0.307,0.2538593481989709,0.22835780445969128
74,Fzd8,Igfbp4,39.14,17.09,-86.74,-inf,0.0,4,0.167,1,6,0.0113,Wnt,FZD8,IGFBP4,mouse_only,0.2,0.3,0.1,0.297,0.24309999999999998,0.34,0.0,0.17,0.19382504288164665,0.20076751286449399
75,Acvr1b,Inhbb,7.97,1.05,-5.46,-15.34,1.109667392529749e-07,4,0.2,1,5,0.0002,Activin,ACVR1B,INHBB,mouse_only,0.2,1.0,0.0,0.0,0.42,0.423,0.095,0.259,0.0034305317324185253,0.19682915951972557
76,Lgr4,Rspo1,10.16,-0.81,-15.81,-24.78,1.0423220477571363e-55,5,0.2,1,5,0.0008,Other,LGR4,RSPO1,mouse_only,0.2,1.0,0.0,0.1,0.44999999999999996,0.0,0.266,0.133,0.013722126929674101,0.18071663807890223
77,Plxnb2,Sema4c,47.23,18.9,-4.29,-15.07,3.8136898665436685e-05,5,0.25,1,4,0.0013,Sema,PLXNB2,SEMA4C,mouse_only,0.2,0.5,0.1,0.0,0.23799999999999996,0.315,0.245,0.28,0.022298456260720412,0.17028953687821613
78,Traf2,Gstp1,19.06,-0.81,-69.47,-284.69,0.0,3,0.25,1,4,0.005,Other,TRAF2,GSTP1,mouse_only,0.2,0.3,0.1,0.1,0.184,0.0,0.0,0.0,0.08576329331046313,0.12252898799313894
79,Ntrk1,Ngf,5.92,-3.0,-42.42,-87.71,0.0,5,0.667,2,3,0.0042,Other,NTRK1,NGF,mouse_only,0.2,0.3,0.1,0.1,0.184,0.0,0.0,0.0,0.07204116638078902,0.1184123499142367
80,Sort1,Ngf,7.57,-0.0,-42.42,-87.71,0.0,5,0.25,1,4,0.002,Other,SORT1,NGF,mouse_only,0.2,0.3,0.1,0.1,0.184,0.0,0.0,0.0,0.03430531732418525,0.10709159519725557
81,Ntrk1,Ntf3,5.92,-3.0,-15.52,-22.59,9.375801657467487e-54,4,0.667,2,3,0.0012,Other,NTRK1,NTF3,mouse_only,0.2,0.3,0.1,0.1,0.184,0.0,0.0,0.0,0.020583190394511147,0.10297495711835335
82,Abca1,Pltp,6.4,-6.33,-24.98,-51.75,6.394991179218994e-137,4,0.25,1,4,0.0008,Other,ABCA1,PLTP,mouse_only,0.2,0.3,0.1,0.1,0.184,0.0,0.0,0.0,0.013722126929674101,0.10091663807890222
83,Pdgfrb,Pdgfb,51.98,-0.01,-2.68,-6.46,0.0143866398374726,5,0.2,1,5,0.0007,Other,PDGFRB,PDGFB,mouse_only,0.2,0.3,0.1,0.1,0.184,0.0,0.0,0.0,0.012006861063464838,0.10040205831903945
